"Season","Player","Team","Pos","name","GSIS_ID"
2019,"A.J. Brown","TEN","WR","A.Brown","00-0035676"
2019,"Aaron Jones","GB","RB","A.Jones","00-0033293"
2019,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
2019,"Adam Humphries","TEN","WR","A.Humphries","00-0032009"
2019,"Adam Shaheen","CHI","TE","A.Shaheen","00-0033896"
2019,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
2019,"Albert Wilson","MIA","WR","A.Wilson","00-0030669"
2019,"Alex Armah","CAR","FB","A.Armah","00-0033296"
2019,"Alex Erickson","CIN","WR","A.Erickson","00-0032543"
2019,"Alexander Mattison","MIN","RB","A.Mattison","00-0034972"
2019,"Allen Hurns","MIA","WR","A.Hurns","00-0030821"
2019,"Allen Robinson","CHI","WR","A.Robinson","00-0031428"
2019,"Alshon Jeffery","PHI","WR","A.Jeffery","00-0029137"
2019,"Alvin Kamara","NO","RB","A.Kamara","00-0033906"
2019,"Amari Cooper","DAL","WR","A.Cooper","00-0031544"
2019,"Ameer Abdullah","MIN","RB","A.Abdullah","00-0032104"
2019,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
2019,"Anthony Miller","CHI","WR","A.Miller","00-0034353"
2019,"Austin Ekeler","LAC","RB","A.Ekeler","00-0033699"
2019,"Austin Hooper","ATL","TE","A.Hooper","00-0032392"
2019,"Baker Mayfield","CLE","QB","B.Mayfield","00-0034855"
2019,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
2019,"Bennie Fowler","NYG","WR","B.Fowler","00-0030670"
2019,"Blake Bell","KC","TE","B.Bell","00-0032062"
2019,"Blake Jarwin","DAL","TE","B.Jarwin","00-0033658"
2019,"Brandin Cooks","LA","WR","B.Cooks","00-0031236"
2019,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
2019,"Breshad Perriman","TB","WR","B.Perriman","00-0032054"
2019,"C.J. Anderson","DET","RB","C.Anderson","00-0029854"
2019,"C.J. Uzomah","CIN","TE","C.Uzomah","00-0032134"
2019,"Calvin Ridley","ATL","WR","C.Ridley","00-0034837"
